callerName,callerNumber,receiverNumber,city,callDirection,callStatus,callDuration,callCost,callStartTime,callEndTime,id
James Martin,668.895.5174,3-780-251-6801 x848,Leeds,FALSE,TRUE,1208,88.67,2026-03-01T00:15:35Z,2026-03-01T00:35:43Z,1
Sophia Jackson,524.719.1206,3-437-925-9624 x527,Sheffield,FALSE,FALSE,2284,99.84,2026-03-17T14:15:38Z,2026-03-17T14:53:42Z,2
Chris Anderson,974.489.5889,5-926-189-3460 x808,Edinburgh,TRUE,TRUE,392,167.03,2026-03-14T09:35:34Z,2026-03-14T09:42:06Z,3
Olivia Taylor,640.429.2528,9-979-140-8841 x710,Leicester,TRUE,FALSE,872,191.07,2026-03-12T00:54:00Z,2026-03-12T01:08:32Z,4
Olivia Anderson,688.434.6006,9-142-679-4110 x828,Glasgow,TRUE,TRUE,1887,156.53,2026-03-20T09:24:46Z,2026-03-20T09:56:13Z,5
Jane Johnson,689.340.5913,6-301-612-3822 x895,Edinburgh,TRUE,TRUE,687,195.97,2026-03-16T04:45:28Z,2026-03-16T04:56:55Z,6
Jane Taylor,109.423.8560,1-229-268-5520 x312,Sheffield,FALSE,TRUE,1894,95.56,2026-03-02T09:54:45Z,2026-03-02T10:26:19Z,7
Olivia Taylor,345.828.2190,1-695-853-3459 x627,Leeds,TRUE,FALSE,3399,31.98,2026-03-06T23:30:59Z,2026-03-07T00:27:38Z,8
Daniel Jackson,479.397.1371,1-873-899-9290 x427,Manchester,FALSE,FALSE,2727,182.02,2026-03-14T21:02:59Z,2026-03-14T21:48:26Z,9
Michael Thomas,244.509.9053,4-838-154-2167 x818,Glasgow,TRUE,TRUE,595,32.56,2026-03-07T02:56:30Z,2026-03-07T03:06:25Z,10
James Martin,906.928.1539,9-794-364-2483 x746,London,TRUE,TRUE,649,35.76,2026-03-01T12:34:26Z,2026-03-01T12:45:15Z,11
James Jackson,620.979.5223,4-772-981-2747 x999,Sheffield,TRUE,FALSE,74,12.13,2026-03-19T03:48:15Z,2026-03-19T03:49:29Z,12
Michael Martin,236.818.8574,7-424-430-6844 x283,Liverpool,FALSE,TRUE,2455,23.03,2026-03-08T13:09:04Z,2026-03-08T13:49:59Z,13
John Harris,945.976.3450,8-626-906-2992 x439,Leicester,TRUE,TRUE,3150,65.21,2026-03-17T19:36:23Z,2026-03-17T20:28:53Z,14
Sophia Anderson,666.588.5688,1-819-204-5149 x698,Manchester,FALSE,TRUE,1365,48.6,2026-03-04T06:21:04Z,2026-03-04T06:43:49Z,15
Emma Brown,901.896.6385,1-427-604-2017 x501,Glasgow,TRUE,TRUE,1908,192.84,2026-03-06T13:15:26Z,2026-03-06T13:47:14Z,16
Sophia Thomas,668.473.6980,4-873-838-2743 x961,Glasgow,FALSE,FALSE,1396,64.01,2026-03-06T18:48:09Z,2026-03-06T19:11:25Z,17
Sophia Martin,648.490.5564,6-236-892-3044 x962,Birmingham,FALSE,TRUE,3003,145.3,2026-03-11T00:51:27Z,2026-03-11T01:41:30Z,18
Daniel Anderson,488.664.5039,8-319-117-7561 x815,Manchester,TRUE,TRUE,2149,178.51,2026-03-17T07:15:16Z,2026-03-17T07:51:05Z,19
James Jackson,775.949.3417,2-720-809-4673 x306,Edinburgh,TRUE,FALSE,2414,66.75,2026-03-18T05:40:25Z,2026-03-18T06:20:39Z,20
Daniel Taylor,792.865.5759,5-587-397-8862 x395,Edinburgh,TRUE,FALSE,2815,89.31,2026-03-09T05:49:59Z,2026-03-09T06:36:54Z,21
John Johnson,423.636.5270,7-529-535-9906 x479,Glasgow,FALSE,FALSE,834,150.79,2026-03-01T01:18:35Z,2026-03-01T01:32:29Z,22
Daniel Taylor,421.375.4479,3-249-694-7165 x642,Birmingham,TRUE,FALSE,2323,116.54,2026-03-11T16:32:51Z,2026-03-11T17:11:34Z,23
Emily Harris,526.911.6589,5-967-248-2393 x136,Leicester,FALSE,FALSE,706,161.94,2026-03-11T23:22:41Z,2026-03-11T23:34:27Z,24
James Martin,341.359.9843,5-216-443-8689 x431,Sheffield,FALSE,FALSE,2919,83.02,2026-03-06T17:11:11Z,2026-03-06T17:59:50Z,25
Chris Anderson,781.957.6375,4-122-901-7708 x885,Leeds,FALSE,FALSE,2905,196.85,2026-03-18T18:59:57Z,2026-03-18T19:48:22Z,26
Chris Smith,369.850.6538,6-422-370-7048 x183,Birmingham,FALSE,TRUE,1358,164.92,2026-03-16T19:37:49Z,2026-03-16T20:00:27Z,27
James Taylor,999.312.9320,9-866-153-5422 x280,Sheffield,TRUE,FALSE,300,123.41,2026-03-01T12:20:57Z,2026-03-01T12:25:57Z,28
Olivia Jackson,657.809.9600,1-618-293-1759 x979,Glasgow,TRUE,TRUE,19,30.94,2026-03-12T09:48:07Z,2026-03-12T09:48:26Z,29
Emma Thomas,811.763.8537,5-680-443-9381 x343,Liverpool,TRUE,FALSE,3477,53.26,2026-03-01T09:38:45Z,2026-03-01T10:36:42Z,30
Chris Johnson,935.891.4846,8-165-622-1625 x699,Liverpool,FALSE,FALSE,2542,70.99,2026-03-17T07:15:35Z,2026-03-17T07:57:57Z,31
John White,864.543.2475,8-244-295-8146 x635,Edinburgh,FALSE,FALSE,1026,179.65,2026-03-06T18:34:15Z,2026-03-06T18:51:21Z,32
Daniel Smith,292.655.8676,5-231-296-5402 x474,Manchester,FALSE,FALSE,281,90.47,2026-03-13T22:59:54Z,2026-03-13T23:04:35Z,33
